x1, y1, x2, y2, d, a, t
84, 98, 160, 35, 98.519, -0.870, 3
82, 101, 84, 101, 1.728, -1.571, 3
110, 110, 112, 112, 2.444, -2.356, 3
101, 66, 119, 32, 38.507, -0.469, 3
107, 70, 107, 72, 2.074, 3.142, 3
70, 72, 57, 118, 47.991, 2.869, 3
89, 72, 99, 74, 10.573, -1.768, 3
107, 80, 109, 82, 2.933, -2.356, 3
95, 89, 107, 69, 23.270, -0.523, 3
74, 97, 80, 97, 5.756, -1.526, 3
85, 107, 85, 107, 0.000, 0.000, 3
109, 109, 111, 111, 2.933, -2.356, 3
87, 77, 87, 80, 3.732, 3.142, 3
82, 82, 74, 85, 8.010, 1.942, 3
82, 102, 82, 106, 4.977, 3.142, 3
106, 109, 50, 32, 96.192, 0.634, 3
33, 32, 54, 51, 29.417, -2.311, 4
55, 32, 98, 31, 43.012, -1.548, 4
74, 32, 95, 34, 21.095, -1.666, 4
59, 33, 73, 47, 20.478, -2.359, 4
32, 36, 63, 54, 36.367, -2.089, 4
98, 108, 35, 33, 97.949, 0.699, 4
160, 37, 79, 52, 82.377, 1.754, 4
32, 43, 51, 66, 29.833, -2.451, 4
37, 47, 51, 32, 20.518, -0.751, 4
90, 49, 34, 72, 60.539, 1.961, 4
106, 53, 44, 57, 61.532, 1.646, 4
75, 101, 131, 31, 89.644, -0.675, 4
41, 56, 32, 45, 14.213, 0.686, 4
115, 57, 38, 70, 77.833, 1.749, 4
37, 62, 108, 37, 75.273, -1.232, 4
64, 63, 67, 46, 16.513, -0.195, 4
81, 97, 55, 61, 44.407, 0.625, 4
34, 65, 38, 54, 11.705, -0.349, 4
31, 68, 59, 50, 33.106, -1.010, 4
77, 97, 47, 56, 50.804, 0.632, 4
71, 95, 49, 58, 43.046, 0.536, 4
54, 71, 71, 36, 38.910, -0.452, 4
108, 72, 46, 55, 63.464, 1.303, 4
63, 74, 37, 35, 46.872, 0.588, 4
82, 89, 38, 49, 59.464, 0.833, 4
40, 76, 43, 36, 40.112, -0.075, 4
34, 78, 38, 37, 41.195, -0.097, 4
37, 81, 91, 50, 62.266, -1.050, 4
109, 84, 61, 55, 56.080, 1.027, 4
95, 75, 43, 51, 57.271, 1.138, 4
106, 46, 62, 49, 44.102, 1.639, 4
117, 53, 43, 60, 74.131, 1.665, 4
114, 69, 40, 62, 73.497, 1.481, 4
44, 38, 64, 54, 25.050, -2.243, 4
37, 42, 46, 54, 15.513, -2.532, 4
51, 43, 66, 58, 21.230, -2.396, 4
64, 48, 43, 63, 26.462, 2.173, 4
106, 50, 54, 57, 53.289, 1.706, 4
106, 54, 39, 66, 68.854, 1.746, 4
