x1, y1, x2, y2, d, a, t
9, 14, 97, 23, 88.471, -1.672, 3
9, 14, 25, 77, 64.806, -2.887, 3
79, 16, 79, 20, 3.500, -2.989, 3
87, 17, 30, 17, 56.583, 1.588, 3
87, 17, 30, 17, 56.583, 1.588, 3
32, 20, 30, 26, 6.703, 2.705, 3
91, 22, 92, 24, 2.810, -2.692, 3
8, 24, 24, 26, 16.386, -1.694, 3
172, 32, 55, 20, 117.860, 1.471, 3
107, 39, 110, 84, 44.498, -3.069, 3
80, 40, 85, 3, 37.395, -0.143, 3
41, 40, 50, 14, 27.790, -0.336, 3
20, 45, 16, 47, 5.222, 2.057, 3
44, 47, 68, 40, 24.946, -1.315, 3
7, 47, 170, 25, 164.349, -1.432, 3
8, 54, 6, 18, 36.223, 0.042, 3
126, 57, 129, 60, 4.156, -2.277, 3
126, 57, 129, 60, 4.156, -2.277, 3
56, 59, 15, 79, 45.491, 2.037, 3
29, 64, 24, 66, 5.960, 1.832, 3
59, 70, 60, 73, 2.344, -3.080, 3
24, 74, 22, 82, 8.096, 2.887, 3
27, 92, 18, 100, 11.860, 2.328, 3
75, 98, 91, 77, 25.555, -0.660, 3
54, 15, 110, 58, 70.526, -2.213, 3
83, 22, 25, 22, 57.369, 1.573, 3
35, 32, 35, 37, 5.438, 3.073, 3
148, 32, 101, 2, 56.068, 1.006, 3
50, 36, 48, 41, 5.167, 2.662, 3
7, 38, 167, 5, 163.348, -1.364, 3
111, 54, 110, 58, 3.758, 2.793, 3
27, 59, 2, 59, 24.893, 1.569, 3
108, 80, 74, 29, 61.092, 0.580, 3
108, 86, 89, 51, 40.158, 0.494, 3
71, 100, 40, 76, 39.926, 0.913, 3
33, 109, 31, 107, 2.152, 0.778, 3
173, 26, 32, 91, 155.627, 2.001, 3
119, 26, 2, 68, 123.951, 1.912, 3
6, 30, 16, 2, 29.435, -0.340, 3
43, 34, 41, 38, 4.457, 2.479, 3
174, 34, 20, 78, 160.470, 1.846, 3
149, 40, 153, 46, 7.828, -2.573, 3
81, 49, 81, 53, 4.267, -3.121, 3
81, 49, 119, 73, 44.742, -2.139, 3
107, 61, 89, 20, 44.587, 0.416, 3
107, 61, 108, 64, 2.931, -2.872, 3
6, 67, 5, 75, 7.971, 3.043, 3
105, 68, 106, 71, 3.148, -2.673, 3
86, 82, 83, 85, 4.784, 2.460, 3
59, 88, 68, 96, 11.810, -2.331, 3
96, 88, 97, 92, 4.096, -2.968, 3
10, 90, 6, 93, 5.460, 2.207, 3
57, 24, 56, 27, 3.132, 2.656, 3
36, 34, 103, 57, 71.356, -1.904, 3
34, 61, 30, 63, 4.746, 2.133, 3
107, 61, 108, 64, 2.597, -3.064, 3
70, 74, 66, 76, 4.661, 2.088, 3
87, 73, 21, 102, 71.932, 1.979, 3
20, 11, 18, 17, 6.267, 2.790, 3
33, 22, 33, 28, 5.410, 3.072, 3
23, 51, 86, 58, 63.396, -1.679, 3
39, 11, 124, 67, 101.608, -2.157, 3
151, 19, 154, 26, 7.583, -2.744, 3
100, 34, 103, 37, 4.384, -2.307, 3
11, 38, 183, 30, 172.631, -1.525, 3
94, 46, 22, 92, 85.032, 2.144, 3
18, 64, 16, 71, 7.167, 2.862, 3
21, 93, 15, 94, 6.108, 1.727, 3
31, 36, 23, 38, 8.274, 1.788, 3
56, 50, 54, 52, 3.083, 2.341, 3
52, 65, 48, 70, 5.666, 2.379, 3
43, 91, 39, 94, 4.898, 2.247, 3
65, 120, 64, 121, 1.698, 1.955, 3
101, 2, 35, 72, 96.310, 2.379, 4
65, 2, 89, 20, 29.812, -2.205, 4
85, 3, 79, 9, 9.027, 2.306, 4
80, 4, 10, 15, 71.113, 1.732, 4
157, 4, 3, 4, 154.506, 1.571, 4
92, 11, 130, 22, 38.569, -1.846, 4
6, 18, 94, 12, 88.056, -1.504, 4
14, 19, 9, 24, 6.895, 2.278, 4
55, 20, 65, 55, 36.450, -2.860, 4
79, 23, 24, 84, 82.219, 2.419, 4
97, 23, 14, 26, 82.794, 1.603, 4
170, 25, 61, 12, 109.746, 1.457, 4
43, 26, 51, 22, 8.092, -1.173, 4
24, 26, 28, 57, 30.979, -3.010, 4
27, 29, 20, 29, 7.577, 1.597, 4
52, 30, 5, 33, 46.911, 1.635, 4
160, 34, 49, 60, 113.453, 1.795, 4
55, 41, 41, 26, 20.927, 0.730, 4
87, 62, 29, 53, 59.420, 1.419, 4
35, 67, 10, 4, 68.333, 0.362, 4
31, 69, 33, 46, 22.910, -0.067, 4
63, 71, 42, 29, 46.511, 0.466, 4
91, 77, 14, 26, 92.369, 0.978, 4
15, 79, 37, 39, 45.176, -0.500, 4
15, 79, 49, 71, 34.514, -1.339, 4
42, 80, 100, 6, 94.457, -0.662, 4
30, 81, 86, 17, 85.498, -0.717, 4
80, 88, 41, 26, 73.281, 0.560, 4
82, 89, 81, 51, 38.552, 0.026, 4
83, 92, 65, 43, 52.460, 0.344, 4
18, 97, 23, 33, 64.087, -0.078, 4
14, 103, 82, 10, 115.139, -0.633, 4
19, 104, 8, 13, 91.768, 0.127, 4
112, 112, 16, 49, 114.987, 0.990, 4
112, 112, 16, 49, 114.987, 0.990, 4
57, 3, 51, 29, 26.527, 2.928, 4
154, 7, 100, 6, 54.140, 1.558, 4
94, 8, 132, 20, 39.813, -1.857, 4
83, 9, 28, 65, 79.094, 2.361, 4
49, 19, 49, 60, 40.382, -3.129, 4
48, 23, 10, 60, 53.307, 2.345, 4
55, 24, 53, 50, 26.640, 3.054, 4
8, 28, 23, 4, 28.386, -0.544, 4
74, 29, 24, 84, 74.133, 2.407, 4
156, 35, 69, 20, 88.093, 1.405, 4
156, 35, 27, 36, 129.310, 1.576, 4
143, 36, 170, 9, 38.170, -0.785, 4
146, 39, 11, 26, 135.816, 1.479, 4
84, 43, 22, 6, 72.121, 1.039, 4
12, 53, 44, 18, 46.684, -0.730, 4
86, 58, 47, 15, 57.736, 0.737, 4
10, 60, 77, 24, 75.981, -1.083, 4
36, 61, 79, 14, 63.895, -0.732, 4
39, 71, 21, 62, 19.996, 1.106, 4
40, 76, 151, 23, 123.386, -1.125, 4
28, 84, 36, 18, 66.249, -0.118, 4
92, 91, 71, 52, 43.881, 0.485, 4
21, 107, 18, 57, 50.361, 0.067, 4
61, 5, 103, 2, 42.176, -1.504, 4
32, 7, 59, 51, 51.452, -2.581, 4
25, 8, 29, 29, 20.840, -2.957, 4
