x1, y1, x2, y2, d, a, t
143, 52, 152, 72, 21.140, -2.722, 39
172, 45, 165, 28, 18.058, 0.383, 39
15, 63, 31, 71, 18.465, -2.074, 39
24, 120, 26, 140, 20.224, -3.054, 39
57, 83, 70, 69, 18.485, -0.771, 39
157, 103, 150, 84, 19.523, 0.368, 40
157, 63, 153, 45, 18.755, 0.210, 40
97, 85, 88, 95, 13.522, 2.437, 40
101, 79, 107, 91, 13.243, -2.621, 40
106, 86, 117, 79, 13.611, -1.030, 40
47, 89, 54, 100, 13.282, -2.556, 40
79, 80, 94, 76, 15.814, -1.308, 41
110, 96, 105, 113, 17.639, 2.861, 41
146, 66, 128, 64, 17.808, 1.488, 41
97, 84, 95, 68, 15.697, 0.111, 41
134, 127, 150, 127, 16.088, -1.570, 41
49, 77, 31, 74, 18.458, 1.425, 42
79, 50, 93, 51, 14.257, -1.639, 42
171, 82, 165, 103, 21.645, 2.854, 42
31, 74, 41, 88, 17.076, -2.534, 43
24, 53, 24, 69, 15.970, 3.118, 43
163, 103, 179, 86, 23.817, -0.762, 44
65, 144, 80, 131, 20.393, -0.868, 44
73, 130, 74, 116, 14.023, -0.101, 45
151, 141, 131, 138, 19.880, 1.416, 45
51, 170, 39, 155, 19.965, 0.669, 45
77, 119, 68, 100, 21.439, 0.406, 45
36, 141, 18, 127, 22.600, 0.904, 45
109, 164, 96, 156, 15.034, 1.018, 46
39, 106, 28, 120, 17.990, 2.434, 46
62, 121, 60, 101, 20.501, 0.100, 46
35, 72, 50, 85, 19.758, -2.279, 46
94, 164, 94, 143, 20.465, 0.020, 47
98, 144, 108, 156, 16.008, -2.444, 47
150, 99, 142, 120, 22.338, 2.762, 47
78, 134, 80, 151, 17.950, -3.071, 47
99, 103, 87, 95, 15.051, 0.949, 47
142, 120, 138, 134, 14.398, 2.845, 47
53, 79, 44, 63, 17.421, 0.488, 47
76, 115, 61, 109, 16.205, 1.188, 48
73, 93, 58, 91, 15.432, 1.427, 48
57, 121, 68, 131, 14.409, -2.275, 48
127, 78, 127, 100, 22.485, 3.118, 48
46, 63, 37, 49, 17.039, 0.598, 48
133, 115, 111, 124, 23.638, 1.963, 48
56, 150, 40, 139, 18.819, 0.957, 49
57, 147, 40, 136, 20.383, 1.027, 49
170, 135, 154, 134, 15.704, 1.508, 49
95, 105, 90, 123, 18.859, 2.885, 49
24, 85, 23, 102, 16.944, 3.131, 49
110, 79, 92, 91, 21.042, 2.141, 49
168, 60, 158, 50, 13.361, 0.803, 49
115, 101, 97, 107, 19.047, 1.879, 49
67, 156, 59, 138, 19.215, 0.450, 49
165, 147, 149, 150, 16.193, 1.760, 49
40, 136, 62, 149, 25.055, -2.100, 50
40, 139, 50, 123, 19.547, -0.578, 50
119, 133, 110, 119, 16.516, 0.557, 50
79, 119, 99, 126, 20.448, -1.918, 50
170, 138, 152, 144, 19.414, 1.924, 50
144, 74, 138, 51, 24.624, 0.281, 50
28, 101, 30, 79, 22.003, -0.065, 51
82, 171, 80, 151, 20.128, 0.119, 51
167, 84, 152, 83, 14.651, 1.463, 51
100, 141, 81, 148, 19.979, 1.889, 51
29, 113, 48, 110, 19.749, -1.445, 51
21, 135, 26, 151, 17.140, -2.852, 51
52, 69, 50, 52, 17.542, 0.084, 52
39, 138, 36, 126, 12.587, 0.277, 52
19, 32, 18, 15, 16.388, 0.059, 52
38, 116, 34, 100, 17.059, 0.237, 52
44, 51, 40, 33, 17.779, 0.175, 52
55, 151, 50, 139, 12.951, 0.380, 52
47, 81, 59, 80, 11.187, -1.521, 52
75, 163, 70, 151, 13.327, 0.412, 52
26, 151, 24, 139, 12.657, 0.225, 52
36, 57, 35, 39, 17.896, 0.044, 52
28, 93, 24, 109, 16.486, 2.879, 52
159, 164, 148, 169, 12.035, 1.980, 52
81, 148, 78, 136, 12.241, 0.245, 52
45, 126, 41, 111, 14.886, 0.278, 52
65, 140, 62, 129, 11.688, 0.271, 52
67, 31, 77, 36, 11.606, -2.034, 52
54, 68, 52, 58, 9.723, 0.141, 53
21, 37, 20, 28, 9.081, 0.119, 53
64, 63, 61, 57, 6.675, 0.415, 53
66, 37, 64, 27, 10.786, 0.228, 53
18, 24, 17, 14, 10.088, 0.043, 53
70, 57, 68, 47, 9.622, 0.224, 53
34, 100, 33, 91, 9.031, 0.208, 53
41, 148, 39, 138, 10.557, 0.232, 53
58, 96, 56, 88, 8.812, 0.312, 53
73, 151, 71, 144, 7.329, 0.266, 53
57, 26, 56, 16, 9.788, 0.062, 53
40, 46, 39, 37, 8.896, 0.148, 53
59, 49, 58, 39, 10.282, 0.144, 53
26, 144, 23, 136, 8.675, 0.374, 53
55, 31, 53, 20, 10.857, 0.206, 53
58, 105, 56, 97, 8.458, 0.230, 53
26, 31, 25, 22, 9.155, 0.140, 53
32, 64, 31, 54, 10.260, 0.062, 53
75, 99, 73, 91, 9.078, 0.326, 53
33, 64, 34, 56, 8.471, -0.098, 53
60, 36, 56, 26, 10.365, 0.298, 53
44, 86, 44, 77, 8.909, -0.075, 53
77, 105, 74, 97, 8.234, 0.340, 53
37, 134, 43, 126, 9.872, -0.591, 53
24, 74, 20, 69, 6.443, 0.661, 53
18, 171, 16, 162, 9.006, 0.239, 53
70, 93, 67, 84, 9.519, 0.319, 53
59, 80, 56, 72, 8.337, 0.294, 53
20, 156, 19, 147, 9.489, 0.103, 53
128, 166, 123, 159, 8.555, 0.620, 53
63, 50, 60, 40, 10.590, 0.350, 53
41, 103, 39, 93, 9.593, 0.167, 53
35, 39, 35, 31, 7.782, 0.031, 53
86, 100, 82, 93, 8.471, 0.482, 53
78, 51, 73, 43, 9.346, 0.553, 53
24, 139, 22, 130, 9.355, 0.148, 53
54, 129, 46, 122, 9.954, 0.888, 53
73, 60, 64, 50, 12.946, 0.745, 54
115, 168, 107, 153, 16.588, 0.465, 54
79, 87, 67, 87, 12.583, 1.560, 54
37, 105, 33, 89, 16.185, 0.249, 54
16, 162, 11, 145, 17.072, 0.279, 54
29, 120, 22, 113, 10.137, 0.743, 54
36, 140, 32, 125, 15.302, 0.263, 54
78, 125, 67, 130, 12.471, 1.983, 54
65, 92, 57, 84, 10.941, 0.749, 56
61, 82, 50, 77, 12.016, 1.147, 56
135, 84, 128, 61, 23.649, 0.336, 57
52, 134, 33, 136, 19.300, 1.664, 57
42, 151, 33, 139, 15.425, 0.683, 57
40, 58, 39, 79, 20.367, 3.138, 57
