x1, y1, x2, y2, d, a
34, 67, 26, 106, 40.354, 2.954
36, 46, 34, 45, 2.535, 1.109
95, 29, 91, 29, 3.489, 1.579
99, 27, 177, 70, 89.222, -2.065
64, 125, 62, 125, 2.074, 1.362
102, 73, 98, 71, 4.281, 1.204
94, 85, 90, 86, 4.556, 1.797
63, 82, 60, 81, 3.308, 1.299
50, 65, 48, 63, 3.317, 0.890
83, 21, 80, 20, 2.930, 1.226
176, 80, 173, 78, 3.269, 1.034
83, 113, 80, 112, 3.061, 1.422
26, 106, 107, 52, 97.371, -0.984
98, 140, 20, 17, 146.270, 0.560
74, 49, 71, 48, 3.271, 1.043
114, 79, 108, 126, 47.905, 3.007
54, 60, 97, 66, 43.373, -1.696
154, 62, 151, 62, 3.445, 1.367
80, 20, 44, 63, 55.794, 2.429
62, 125, 116, 122, 53.674, -1.514
91, 29, 130, 137, 114.491, -2.799
98, 71, 94, 72, 4.516, 1.729
93, 28, 35, 111, 101.042, 2.531
34, 45, 31, 44, 3.706, 1.253
48, 63, 98, 134, 86.816, -2.521
97, 66, 93, 65, 4.585, 1.345
108, 126, 105, 125, 2.818, 0.956
60, 81, 56, 81, 3.806, 1.462
80, 112, 116, 112, 36.139, -1.559
52, 59, 47, 58, 4.309, 1.271
90, 86, 131, 123, 55.715, -2.308
78, 112, 131, 82, 60.884, -1.046
142, 172, 156, 31, 141.504, -0.099
77, 77, 73, 74, 4.052, 0.929
134, 137, 83, 120, 53.811, 1.251
20, 17, 65, 129, 120.417, -2.767
94, 72, 101, 50, 23.453, -0.336
109, 64, 76, 19, 55.594, 0.636
94, 72, 91, 71, 2.885, 1.318
44, 63, 42, 62, 2.218, 1.057
35, 111, 48, 132, 25.233, -2.609
87, 28, 84, 28, 2.668, 1.447
47, 58, 45, 55, 3.211, 0.844
73, 74, 70, 73, 3.083, 1.284
154, 88, 125, 115, 39.427, 2.323
56, 81, 53, 80, 3.382, 1.320
156, 31, 108, 84, 72.205, 2.405
130, 137, 33, 111, 100.176, 1.309
74, 110, 70, 110, 3.497, 1.478
128, 26, 125, 24, 3.257, 1.132
130, 123, 128, 122, 2.293, 1.127
83, 120, 81, 119, 2.160, 1.102
131, 82, 59, 71, 72.364, 1.429
131, 123, 147, 55, 69.557, -0.233
83, 69, 80, 67, 3.468, 1.130
114, 96, 85, 84, 31.468, 1.154
67, 46, 65, 44, 2.555, 0.808
98, 134, 113, 121, 19.185, -0.848
