x1, y1, x2, y2, d, a, t
119, 3, 126, 20, 17.979, -2.746, 39
169, 109, 183, 125, 21.218, -2.420, 39
102, 30, 119, 30, 17.454, -1.567, 39
22, 150, 34, 134, 20.126, -0.633, 39
170, 67, 160, 75, 12.853, 2.203, 40
154, 11, 144, 7, 11.205, 1.185, 40
114, 67, 107, 78, 13.718, 2.570, 40
114, 67, 107, 78, 13.718, 2.570, 40
66, 101, 76, 87, 18.239, -0.619, 40
66, 101, 76, 87, 18.239, -0.619, 40
84, 101, 73, 93, 13.812, 0.966, 40
144, 74, 159, 79, 16.693, -1.877, 40
160, 62, 162, 49, 13.374, -0.183, 40
122, 46, 139, 52, 17.837, -1.945, 40
105, 39, 107, 65, 25.959, -3.069, 41
132, 15, 153, 6, 23.468, -1.173, 41
87, 111, 68, 112, 19.192, 1.640, 41
151, 151, 124, 136, 30.343, 1.049, 43
124, 136, 127, 119, 17.158, -0.176, 44
44, 169, 43, 145, 23.606, 0.051, 45
66, 180, 49, 161, 25.308, 0.700, 45
151, 181, 137, 160, 25.175, 0.595, 48
32, 38, 17, 56, 23.179, 2.418, 48
73, 149, 91, 151, 18.444, -1.712, 50
59, 176, 55, 162, 14.315, 0.226, 50
68, 131, 58, 114, 19.629, 0.531, 50
51, 114, 58, 103, 13.519, -0.519, 50
52, 135, 55, 153, 18.650, -2.976, 50
25, 93, 39, 84, 16.193, -1.023, 51
66, 94, 77, 84, 14.643, -0.782, 51
46, 114, 47, 100, 13.951, -0.057, 51
90, 169, 85, 180, 12.119, 2.723, 51
30, 89, 47, 82, 17.846, -1.144, 51
63, 126, 77, 126, 14.338, -1.550, 51
55, 153, 63, 163, 12.580, -2.486, 51
27, 23, 20, 7, 17.363, 0.405, 51
43, 104, 38, 89, 15.506, 0.304, 51
82, 105, 82, 117, 12.503, -3.113, 51
50, 92, 67, 86, 17.925, -1.268, 51
15, 21, 12, 8, 13.389, 0.232, 52
17, 23, 16, 7, 15.999, 0.066, 52
21, 50, 20, 33, 17.466, 0.072, 52
63, 64, 59, 42, 21.924, 0.186, 52
56, 27, 52, 6, 21.415, 0.146, 52
57, 40, 44, 36, 13.961, 1.248, 52
58, 76, 55, 58, 18.310, 0.192, 52
54, 77, 51, 60, 17.182, 0.174, 52
76, 99, 72, 82, 17.783, 0.253, 52
84, 107, 79, 90, 18.200, 0.254, 52
60, 168, 81, 176, 22.305, -1.924, 52
15, 173, 12, 157, 16.211, 0.182, 52
62, 177, 57, 164, 14.228, 0.359, 52
54, 53, 49, 33, 21.014, 0.215, 52
71, 56, 67, 37, 19.624, 0.231, 52
64, 76, 61, 57, 18.760, 0.169, 52
28, 49, 27, 31, 17.856, 0.109, 52
67, 70, 63, 52, 18.357, 0.204, 52
38, 117, 34, 100, 17.424, 0.240, 52
50, 36, 46, 17, 19.480, 0.194, 52
20, 32, 18, 15, 16.980, 0.078, 52
62, 45, 58, 25, 19.999, 0.164, 52
43, 64, 40, 46, 17.766, 0.123, 52
32, 66, 29, 48, 18.399, 0.173, 52
47, 82, 44, 62, 20.223, 0.142, 52
46, 161, 42, 148, 13.361, 0.324, 52
39, 43, 36, 24, 18.537, 0.147, 52
20, 22, 20, 12, 10.101, 0.040, 53
68, 26, 66, 16, 11.004, 0.181, 53
25, 40, 24, 31, 9.247, 0.034, 53
59, 42, 57, 32, 10.049, 0.178, 53
27, 54, 24, 45, 9.334, 0.225, 53
27, 54, 24, 45, 9.334, 0.225, 53
53, 55, 51, 45, 10.292, 0.192, 53
56, 87, 54, 79, 8.835, 0.297, 53
49, 149, 53, 156, 7.843, -2.629, 53
23, 166, 20, 157, 9.179, 0.262, 53
29, 22, 28, 12, 10.117, 0.065, 53
54, 32, 52, 21, 11.022, 0.153, 53
20, 33, 19, 24, 8.489, 0.188, 53
69, 43, 69, 52, 9.514, -3.051, 53
70, 50, 68, 40, 10.152, 0.211, 53
46, 51, 44, 41, 9.849, 0.140, 53
34, 68, 32, 59, 9.364, 0.212, 53
31, 82, 28, 75, 7.657, 0.337, 53
34, 89, 32, 79, 9.626, 0.235, 53
37, 122, 35, 114, 7.809, 0.215, 53
51, 144, 47, 137, 7.768, 0.462, 53
47, 25, 44, 16, 10.050, 0.236, 53
49, 33, 46, 22, 10.524, 0.278, 53
22, 37, 22, 27, 9.196, 0.043, 53
22, 37, 22, 27, 9.196, 0.043, 53
50, 44, 49, 33, 11.271, 0.152, 53
63, 45, 61, 35, 9.668, 0.217, 53
63, 45, 62, 32, 12.208, 0.089, 53
34, 61, 33, 52, 9.049, 0.161, 53
38, 90, 36, 80, 10.651, 0.213, 53
121, 169, 117, 163, 7.774, 0.546, 53
121, 169, 117, 163, 7.774, 0.546, 53
46, 17, 43, 7, 10.115, 0.270, 53
66, 28, 64, 17, 10.444, 0.180, 53
67, 37, 64, 27, 10.531, 0.222, 53
50, 51, 49, 41, 10.455, 0.087, 53
32, 139, 29, 131, 7.879, 0.302, 53
59, 14, 57, 6, 8.706, 0.233, 53
18, 15, 18, 5, 9.558, 0.094, 53
58, 25, 56, 15, 9.869, 0.204, 53
70, 48, 68, 38, 10.782, 0.174, 53
70, 48, 68, 38, 10.782, 0.174, 53
72, 67, 71, 57, 9.813, 0.132, 53
36, 85, 34, 75, 9.959, 0.204, 53
34, 100, 33, 91, 8.806, 0.127, 53
74, 75, 72, 62, 13.051, 0.138, 53
40, 46, 39, 36, 9.525, 0.154, 53
42, 148, 39, 138, 11.088, 0.273, 53
58, 49, 55, 34, 15.031, 0.157, 54
32, 124, 31, 111, 12.600, 0.121, 54
28, 154, 23, 139, 16.136, 0.282, 54
68, 40, 66, 28, 11.825, 0.183, 54
48, 44, 46, 25, 19.585, 0.057, 54
11, 148, 7, 131, 18.344, 0.227, 54
23, 23, 23, 3, 19.629, 0.004, 54
22, 27, 22, 8, 19.067, -0.016, 54
28, 47, 38, 53, 12.377, -2.123, 54
49, 33, 48, 13, 19.987, 0.029, 54
62, 32, 51, 47, 17.879, 2.501, 54
49, 41, 49, 21, 19.889, 0.034, 54
55, 88, 52, 70, 18.085, 0.213, 54
35, 129, 31, 111, 18.491, 0.221, 54
29, 131, 24, 114, 18.518, 0.320, 54
52, 57, 49, 39, 18.206, 0.180, 54
56, 96, 52, 80, 17.142, 0.249, 54
71, 146, 66, 131, 15.686, 0.304, 54
39, 109, 42, 98, 11.724, -0.263, 54
181, 148, 178, 126, 22.708, 0.130, 64
72, 184, 73, 162, 21.891, -0.069, 69
95, 153, 75, 159, 20.806, 1.886, 69
147, 151, 135, 169, 21.311, 2.529, 71
24, 109, 29, 113, 7.083, -2.288, 73
26, 156, 32, 153, 6.617, -1.137, 73
41, 150, 48, 152, 7.128, -1.902, 73
17, 111, 22, 115, 6.201, -2.281, 73
7, 156, 11, 160, 5.417, -2.541, 73
46, 181, 45, 173, 8.146, 0.056, 73
27, 146, 18, 136, 13.586, 0.707, 74
5, 152, 3, 140, 12.369, 0.198, 74
46, 164, 59, 160, 14.221, -1.314, 74
39, 146, 25, 154, 16.315, 2.091, 75
7, 154, 21, 163, 17.159, -2.124, 75
