x1, y1, x2, y2, d, a, t, dc
102, 60, 51, 46, 52.056, 1.300, 3, 0.964
93, 61, 127, 44, 38.013, -1.107, 3, 0.894
111, 64, 112, 70, 6.083, -2.976, 3, 0.164
77, 66, 123, 44, 50.990, -1.125, 3, 0.902
85, 73, 129, 44, 52.853, -1.004, 3, 0.844
42, 74, 64, 124, 55.682, -2.720, 3, 0.409
63, 110, 104, 155, 60.877, -2.403, 3, 0.673
71, 112, 43, 77, 44.822, 0.675, 3, 0.625
118, 39, 116, 42, 3.394, 2.356, 3, 0.707
51, 42, 51, 44, 2.088, 2.850, 3, 0.287
123, 42, 122, 43, 1.697, 2.356, 3, 0.707
126, 42, 127, 46, 4.948, -2.897, 3, 0.243
76, 43, 76, 57, 13.845, 3.086, 3, 0.055
48, 44, 52, 47, 4.771, -2.147, 3, 0.838
103, 44, 101, 58, 13.777, 2.981, 3, 0.160
112, 46, 81, 61, 34.363, 2.003, 3, 0.908
51, 48, 56, 47, 4.512, -1.347, 3, 0.975
75, 51, 69, 67, 17.070, 2.752, 3, 0.380
135, 51, 134, 54, 2.683, 2.678, 3, 0.447
115, 52, 114, 52, 1.442, 0.983, 3, 0.832
61, 54, 62, 57, 3.795, -2.820, 3, 0.316
87, 54, 88, 59, 5.016, -3.062, 3, 0.080
102, 60, 116, 46, 19.535, -0.829, 3, 0.737
127, 61, 48, 53, 79.623, 1.468, 3, 0.995
57, 44, 56, 47, 3.220, 2.678, 3, 0.447
112, 46, 87, 60, 28.370, 2.084, 3, 0.871
53, 51, 98, 63, 46.627, -1.826, 3, 0.968
82, 51, 46, 39, 38.297, 1.229, 3, 0.942
115, 51, 113, 53, 2.036, 2.356, 3, 0.707
135, 51, 66, 58, 69.633, 1.659, 3, 0.996
61, 54, 50, 44, 15.467, 0.840, 3, 0.745
86, 54, 109, 43, 25.545, -1.103, 3, 0.893
96, 57, 96, 62, 4.617, -3.079, 3, 0.062
84, 60, 119, 51, 35.624, -1.326, 3, 0.970
89, 60, 90, 61, 1.018, -2.356, 3, 0.707
97, 61, 102, 69, 8.696, -2.653, 3, 0.469
77, 66, 76, 68, 2.364, 2.723, 3, 0.406
60, 55, 58, 63, 8.093, 2.830, 3, 0.306
86, 57, 84, 63, 7.125, 2.897, 3, 0.243
93, 62, 92, 67, 5.592, 2.934, 3, 0.206
77, 65, 76, 67, 2.477, 2.521, 3, 0.581
105, 84, 122, 58, 31.412, -0.556, 3, 0.528
105, 85, 48, 53, 65.060, 1.061, 3, 0.873
47, 32, 108, 57, 66.154, -1.968, 4, 0.922
124, 33, 123, 36, 3.162, 2.820, 4, 0.316
128, 37, 127, 52, 15.820, 3.091, 4, 0.051
133, 39, 99, 70, 45.961, 2.326, 4, 0.728
49, 43, 88, 57, 41.565, -1.915, 4, 0.941
109, 43, 118, 40, 9.487, -1.249, 4, 0.949
51, 44, 66, 56, 19.497, -2.244, 4, 0.782
123, 44, 117, 43, 6.083, 1.406, 4, 0.986
127, 44, 124, 45, 3.162, 1.893, 4, 0.949
119, 45, 107, 53, 14.634, 2.196, 4, 0.811
56, 47, 90, 58, 35.989, -1.905, 4, 0.945
59, 48, 48, 48, 11.000, 1.571, 4, 1.000
77, 48, 79, 51, 3.606, -2.554, 4, 0.555
114, 52, 111, 53, 3.162, 1.893, 4, 0.949
63, 53, 83, 63, 22.361, -2.034, 4, 0.894
122, 53, 87, 69, 38.196, 2.020, 4, 0.901
110, 56, 106, 51, 5.398, 0.691, 4, 0.637
101, 58, 102, 60, 2.236, -2.678, 4, 0.447
88, 59, 90, 59, 2.000, -1.571, 4, 1.000
128, 60, 99, 64, 29.275, 1.708, 4, 0.991
91, 61, 44, 46, 48.702, 1.259, 4, 0.952
93, 62, 120, 49, 29.880, -1.128, 4, 0.904
110, 63, 72, 54, 39.051, 1.338, 4, 0.973
119, 63, 113, 47, 16.343, 0.326, 4, 0.321
98, 64, 100, 70, 7.200, -2.828, 4, 0.309
35, 71, 76, 123, 67.186, -2.470, 4, 0.622
43, 77, 44, 81, 4.123, -2.897, 4, 0.243
56, 98, 69, 133, 37.736, -2.773, 4, 0.360
124, 37, 129, 43, 7.161, -2.515, 4, 0.587
45, 38, 46, 44, 6.119, -2.944, 4, 0.196
133, 38, 135, 43, 4.940, -2.769, 4, 0.364
48, 42, 82, 50, 34.928, -1.802, 4, 0.973
116, 42, 120, 44, 4.118, -2.078, 4, 0.874
109, 43, 116, 51, 11.402, -2.431, 4, 0.653
122, 43, 123, 48, 4.948, -2.897, 4, 0.243
50, 44, 62, 58, 18.585, -2.453, 4, 0.635
56, 46, 57, 54, 7.299, -2.976, 4, 0.164
116, 46, 119, 49, 3.406, -2.273, 4, 0.763
127, 46, 129, 50, 4.327, -2.554, 4, 0.555
110, 56, 113, 63, 7.729, -2.692, 4, 0.435
62, 57, 127, 65, 65.967, -1.693, 4, 0.993
93, 62, 58, 54, 36.578, 1.339, 4, 0.973
98, 63, 100, 72, 8.736, -2.863, 4, 0.275
102, 63, 93, 58, 9.675, 1.052, 4, 0.868
85, 64, 63, 60, 22.713, 1.358, 4, 0.977
76, 68, 129, 31, 64.215, -0.949, 4, 0.813
43, 78, 69, 135, 62.567, -2.717, 4, 0.412
64, 124, 69, 133, 10.091, -2.699, 4, 0.428
129, 44, 128, 67, 22.592, 3.088, 4, 0.053
51, 46, 53, 50, 4.554, -2.820, 4, 0.316
76, 47, 79, 51, 4.994, -2.527, 4, 0.577
113, 53, 82, 62, 32.275, 1.857, 4, 0.959
80, 61, 111, 62, 30.360, -1.573, 4, 1.000
84, 64, 86, 64, 1.440, -1.571, 4, 1.000
69, 67, 114, 62, 45.190, -1.454, 4, 0.993
96, 62, 104, 76, 15.573, -2.659, 4, 0.464
84, 63, 82, 62, 2.444, 0.785, 4, 0.707
69, 67, 39, 39, 41.392, 0.815, 4, 0.728
100, 69, 31, 31, 79.026, 1.067, 4, 0.876
31, 31, 133, 54, 104.756, -1.792, 5, 0.976
129, 31, 132, 34, 4.243, -2.356, 5, 0.707
131, 35, 132, 40, 5.099, -2.944, 5, 0.196
123, 36, 109, 52, 21.260, 2.423, 5, 0.659
45, 39, 42, 43, 5.000, 2.498, 5, 0.600
118, 40, 117, 42, 2.236, 2.678, 5, 0.447
129, 43, 125, 46, 4.830, 2.262, 5, 0.770
135, 43, 135, 46, 3.847, -2.985, 5, 0.156
120, 44, 121, 47, 3.162, -2.820, 5, 0.316
47, 45, 46, 45, 0.632, 2.820, 5, 0.316
132, 48, 89, 60, 43.953, 1.859, 5, 0.959
82, 50, 84, 57, 8.156, -2.770, 5, 0.363
130, 50, 107, 65, 27.459, 2.149, 5, 0.838
79, 51, 109, 53, 30.525, -1.646, 5, 0.997
117, 52, 78, 72, 43.392, 2.065, 5, 0.880
85, 53, 84, 60, 7.480, 3.136, 5, 0.005
111, 53, 44, 87, 74.950, 2.054, 5, 0.885
58, 54, 104, 72, 49.396, -1.944, 5, 0.931
67, 56, 66, 62, 6.478, 2.987, 5, 0.154
90, 59, 63, 63, 27.295, 1.718, 5, 0.989
101, 59, 102, 64, 5.931, -2.931, 5, 0.209
63, 60, 60, 64, 5.000, 2.498, 5, 0.600
83, 63, 123, 59, 41.032, -1.474, 5, 0.995
94, 67, 99, 64, 5.831, -1.030, 5, 0.857
35, 69, 31, 67, 4.472, 1.107, 5, 0.894
88, 70, 87, 79, 9.209, 3.098, 5, 0.043
44, 81, 46, 105, 24.210, -3.056, 5, 0.086
116, 43, 108, 47, 9.220, 1.996, 5, 0.911
123, 45, 121, 46, 2.683, 2.034, 5, 0.894
94, 46, 105, 62, 18.707, -2.539, 5, 0.567
48, 48, 60, 67, 23.061, -2.570, 5, 0.541
114, 48, 79, 44, 35.228, 1.457, 5, 0.994
132, 48, 129, 48, 2.400, 1.571, 5, 1.000
52, 51, 99, 66, 49.007, -1.877, 5, 0.954
79, 51, 77, 57, 5.612, 2.882, 5, 0.257
127, 52, 103, 64, 26.833, 2.034, 5, 0.894
57, 54, 93, 65, 37.569, -1.886, 5, 0.951
72, 54, 47, 45, 26.571, 1.225, 5, 0.941
93, 58, 104, 80, 23.614, -2.686, 5, 0.440
102, 60, 106, 64, 6.788, -2.356, 5, 0.707
82, 62, 127, 32, 53.645, -0.968, 5, 0.824
98, 63, 99, 67, 4.191, -2.911, 5, 0.229
87, 64, 61, 67, 26.509, 1.661, 5, 0.996
110, 69, 106, 64, 6.147, 0.675, 5, 0.625
43, 82, 69, 117, 43.681, -2.493, 5, 0.604
76, 123, 47, 95, 41.304, 0.806, 5, 0.721
69, 133, 73, 139, 7.532, -2.607, 5, 0.510
122, 44, 79, 73, 51.787, 2.155, 5, 0.834
113, 47, 112, 49, 1.935, 2.622, 5, 0.496
119, 48, 100, 67, 26.580, 2.317, 5, 0.734
53, 50, 60, 60, 12.387, -2.521, 5, 0.581
116, 51, 86, 53, 30.274, 1.618, 5, 0.999
66, 56, 85, 64, 20.459, -1.979, 5, 0.918
89, 59, 90, 61, 3.220, -2.678, 5, 0.447
83, 61, 82, 60, 2.449, 0.670, 5, 0.621
97, 63, 93, 66, 5.192, 2.159, 5, 0.832
97, 67, 103, 79, 12.672, -2.712, 5, 0.417
102, 67, 103, 70, 3.169, -2.670, 5, 0.454
76, 123, 79, 127, 5.128, -2.476, 5, 0.618
