x1, y1, x2, y2, d, a, t, dc
98, 63, 99, 69, 6.489, -3.010, 4, 0.132
65, 126, 69, 132, 7.667, -2.581, 4, 0.532
127, 9, 126, 11, 2.485, 2.608, 4, 0.508
34, 16, 12, 181, 167.243, 3.009, 4, 0.132
127, 50, 67, 57, 60.896, 1.689, 4, 0.993
127, 50, 67, 57, 60.896, 1.689, 4, 0.993
93, 70, 116, 46, 33.171, -0.764, 4, 0.692
116, 25, 117, 26, 1.037, -2.077, 4, 0.875
116, 25, 77, 2, 45.376, 1.038, 4, 0.862
118, 14, 116, 16, 2.397, 2.553, 4, 0.556
118, 14, 116, 16, 2.397, 2.553, 4, 0.556
43, 23, 41, 28, 5.682, 2.818, 4, 0.318
140, 32, 137, 32, 3.113, 1.485, 4, 0.996
112, 35, 6, 182, 180.648, 2.514, 4, 0.587
73, 58, 50, 48, 24.646, 1.173, 4, 0.922
134, 173, 134, 173, 1.027, 1.090, 4, 0.887
61, 28, 28, 52, 40.909, 2.187, 4, 0.816
64, 67, 62, 70, 3.527, 2.468, 4, 0.623
165, 2, 163, 4, 2.921, 2.259, 5, 0.772
77, 2, 109, 60, 65.744, -2.632, 5, 0.488
170, 11, 169, 13, 2.250, 2.256, 5, 0.774
173, 20, 130, 15, 43.153, 1.460, 5, 0.994
176, 21, 54, 56, 127.285, 1.845, 5, 0.963
164, 35, 164, 37, 2.500, 3.072, 5, 0.069
47, 45, 103, 47, 55.931, -1.615, 5, 0.999
50, 48, 33, 29, 26.121, 0.741, 5, 0.675
28, 52, 28, 56, 3.977, -3.117, 5, 0.025
30, 57, 29, 60, 3.258, 2.902, 5, 0.237
116, 62, 113, 65, 4.516, 2.278, 5, 0.760
114, 63, 109, 52, 11.816, 0.424, 5, 0.411
177, 63, 28, 56, 148.889, 1.525, 5, 0.999
112, 65, 106, 54, 13.079, 0.477, 5, 0.459
110, 66, 102, 53, 15.606, 0.529, 5, 0.505
105, 72, 105, 74, 2.733, -3.136, 5, 0.006
18, 140, 173, 8, 203.774, -0.864, 5, 0.761
3, 162, 2, 162, 0.816, 0.878, 5, 0.770
8, 178, 32, 33, 146.488, -0.158, 5, 0.158
104, 181, 164, 37, 156.391, -0.396, 5, 0.386
104, 181, 105, 167, 14.528, -0.069, 5, 0.069
170, 3, 2, 162, 231.285, 2.327, 5, 0.727
123, 5, 120, 7, 4.426, 2.260, 5, 0.771
134, 8, 103, 70, 69.814, 2.679, 5, 0.447
69, 9, 63, 10, 5.926, 1.604, 5, 0.999
38, 14, 178, 21, 140.146, -1.623, 5, 0.999
34, 14, 125, 46, 96.968, -1.911, 5, 0.943
120, 22, 116, 45, 22.624, 2.953, 5, 0.187
177, 27, 176, 30, 3.050, 2.648, 5, 0.473
16, 35, 68, 117, 98.134, -2.573, 5, 0.538
16, 35, 15, 38, 3.321, 2.904, 5, 0.235
44, 39, 39, 41, 5.728, 1.999, 5, 0.910
118, 39, 118, 42, 2.704, -2.949, 5, 0.192
119, 49, 81, 18, 48.730, 0.893, 5, 0.779
126, 52, 79, 53, 47.463, 1.587, 5, 1.000
26, 57, 27, 61, 3.742, -3.111, 5, 0.030
26, 57, 45, 98, 45.513, -2.709, 5, 0.419
67, 57, 66, 62, 4.899, 3.015, 5, 0.126
102, 73, 83, 69, 19.359, 1.367, 5, 0.979
35, 75, 36, 73, 1.840, -0.633, 5, 0.591
185, 143, 129, 68, 93.341, 0.639, 5, 0.596
185, 143, 14, 141, 170.833, 1.556, 5, 1.000
27, 183, 82, 59, 134.535, -0.415, 5, 0.403
42, 10, 62, 2, 21.261, -1.195, 5, 0.930
137, 19, 137, 20, 1.379, -2.817, 5, 0.319
111, 51, 84, 52, 27.125, 1.580, 5, 1.000
30, 62, 29, 64, 2.006, 2.706, 5, 0.422
25, 62, 169, 13, 151.575, -1.238, 5, 0.945
99, 63, 100, 67, 3.787, -2.849, 5, 0.288
99, 69, 133, 24, 57.303, -0.655, 5, 0.609
43, 82, 45, 88, 5.847, -2.896, 5, 0.243
69, 132, 74, 139, 8.056, -2.452, 5, 0.636
59, 174, 182, 60, 167.926, -0.827, 5, 0.736
59, 174, 24, 127, 58.016, 0.631, 5, 0.590
90, 5, 86, 4, 4.599, 1.543, 5, 1.000
129, 35, 88, 75, 56.872, 2.351, 5, 0.711
133, 43, 133, 47, 4.751, -3.140, 5, 0.002
27, 57, 27, 62, 4.507, -3.108, 5, 0.033
27, 57, 27, 62, 4.507, -3.108, 5, 0.033
27, 57, 20, 147, 90.063, 3.071, 5, 0.071
62, 59, 178, 21, 121.289, -1.252, 5, 0.950
182, 58, 182, 60, 2.069, 3.114, 5, 0.027
99, 69, 108, 38, 32.796, -0.294, 5, 0.290
127, 167, 90, 61, 112.181, 0.336, 5, 0.329
127, 167, 90, 61, 112.181, 0.336, 5, 0.329
12, 181, 23, 20, 161.639, -0.065, 5, 0.065
126, 11, 125, 14, 2.622, 2.865, 5, 0.273
126, 11, 129, 19, 8.406, -2.737, 5, 0.394
165, 18, 163, 20, 2.273, 2.355, 5, 0.708
46, 46, 60, 59, 19.498, -2.346, 5, 0.714
116, 46, 114, 48, 2.523, 2.329, 5, 0.726
